지점,지점명,일시,미세먼지
90,속초,2020-06-26 5:00,6
90,속초,2020-06-26 6:00,10
90,속초,2020-06-26 7:00,6
90,속초,2020-06-26 8:00,12
90,속초,2020-06-26 9:00,11
90,속초,2020-06-26 10:00,15
90,속초,2020-06-26 11:00,25
90,속초,2020-06-26 12:00,27
90,속초,2020-06-26 13:00,34
90,속초,2020-06-26 14:00,28
90,속초,2020-06-26 15:00,32
90,속초,2020-06-26 16:00,38
90,속초,2020-06-26 17:00,35
90,속초,2020-06-26 18:00,33
90,속초,2020-06-26 19:00,44
90,속초,2020-06-26 20:00,29
90,속초,2020-06-26 21:00,28
90,속초,2020-06-26 22:00,23
90,속초,2020-06-26 23:00,21
90,속초,2020-06-27 0:00,15
90,속초,2020-06-27 1:00,13
90,속초,2020-06-27 2:00,13
90,속초,2020-06-27 3:00,12
90,속초,2020-06-27 4:00,18
90,속초,2020-06-27 5:00,23
90,속초,2020-06-27 6:00,25
90,속초,2020-06-27 7:00,26
90,속초,2020-06-27 8:00,24
90,속초,2020-06-27 9:00,25
90,속초,2020-06-27 10:00,43
90,속초,2020-06-27 11:00,42
90,속초,2020-06-27 12:00,43
90,속초,2020-06-27 13:00,44
90,속초,2020-06-27 14:00,41
90,속초,2020-06-27 15:00,49
90,속초,2020-06-27 16:00,51
90,속초,2020-06-27 17:00,53
90,속초,2020-06-27 18:00,39
90,속초,2020-06-27 19:00,33
90,속초,2020-06-27 20:00,49
90,속초,2020-06-27 21:00,34
90,속초,2020-06-27 22:00,13
90,속초,2020-06-27 23:00,8
90,속초,2020-06-28 0:00,14
90,속초,2020-06-28 1:00,18
90,속초,2020-06-28 2:00,19
90,속초,2020-06-28 3:00,19
90,속초,2020-06-28 4:00,17
90,속초,2020-06-28 5:00,25
90,속초,2020-06-28 6:00,16
90,속초,2020-06-28 7:00,17
90,속초,2020-06-28 8:00,17
90,속초,2020-06-28 9:00,30
90,속초,2020-06-28 18:00,20
90,속초,2020-06-28 19:00,15
90,속초,2020-06-28 20:00,23
90,속초,2020-06-28 21:00,15
90,속초,2020-06-28 22:00,20
90,속초,2020-06-28 23:00,24
90,속초,2020-06-29 0:00,24
90,속초,2020-06-29 1:00,27
90,속초,2020-06-29 2:00,31
90,속초,2020-06-29 3:00,28
90,속초,2020-06-29 4:00,28
90,속초,2020-06-29 5:00,29
90,속초,2020-06-29 6:00,23
90,속초,2020-06-29 7:00,27
90,속초,2020-06-29 8:00,26
90,속초,2020-06-29 9:00,32
90,속초,2020-06-29 10:00,42
90,속초,2020-06-29 11:00,37
90,속초,2020-06-29 12:00,37
90,속초,2020-06-29 13:00,30
90,속초,2020-06-29 14:00,27
90,속초,2020-06-29 15:00,26
90,속초,2020-06-29 16:00,22
90,속초,2020-06-29 17:00,13
90,속초,2020-06-29 18:00,14
90,속초,2020-06-29 19:00,16
90,속초,2020-06-29 20:00,17
90,속초,2020-06-29 21:00,13
90,속초,2020-06-29 22:00,18
90,속초,2020-06-29 23:00,14
90,속초,2020-06-30 0:00,14
90,속초,2020-06-30 1:00,15
90,속초,2020-06-30 2:00,16
90,속초,2020-06-30 3:00,21
90,속초,2020-06-30 4:00,24
90,속초,2020-06-30 5:00,21
90,속초,2020-06-30 6:00,24
90,속초,2020-06-30 7:00,35
90,속초,2020-06-30 8:00,40
90,속초,2020-06-30 9:00,43
90,속초,2020-06-30 10:00,40
90,속초,2020-06-30 11:00,45
90,속초,2020-06-30 12:00,42
